SubBand: 350 - 450 (100)
SubBand: 450 - 600 (150)
SubBand: 600 - 800 (200)
SubBand: 800 - 1050 (250)
DM  NBIN  NCHAN_IN  NCHAN_OUT Subband BW  CFREQ NFFT  PERF
253 64  10  10  1 100 400 16777216  1.8579231
253 64  15  15  2 150 525 16777216  2.2895096
253 64  20  20  3 200 700 8388608 0.9463924
253 64  25  25  4 250 925 2097152 0.8505668
369 64  10  80  1 100 400 524288  0.5482033
369 64  15  120 2 150 525 262144  0.6818558
369 64  20  160 3 200 700 262144  0.671847
369 64  25  200 4 250 925 262144  0.7850544
253 2048  10  10  1 100 400 16777216  1.8385376
253 2048  15  15  2 150 525 16777216  2.3226309
253 2048  20  20  3 200 700 8388608 0.942353
253 2048  25  25  4 250 925 2097152 0.847053
369 2048  10  80  1 100 400 524288  0.5420027
369 2048  15  120 2 150 525 131072  0.640532
369 2048  20  160 3 200 700 262144  0.6697515
369 2048  25  200 4 250 925 262144  0.740959
