SubBand: 950 - 1150 (200)
SubBand: 1150 - 1350 (200)
SubBand: 1350 - 1550 (200)
SubBand: 1550 - 1760 (210)
DM	NBIN	NCHAN_IN	NCHAN_OUT	Subband	BW	CFREQ	NFFT	PERF
364	64	20	20	1	200	1050	2097152	0.7657838
364	64	20	20	2	200	1250	2097152	0.6796956
364	64	20	20	3	200	1450	2097152	0.6632397
364	64	21	21	4	210	1655	2097152	0.684152
520	64	20	160	1	200	1050	262144	0.6071034
520	64	20	160	2	200	1250	262144	0.6001925
520	64	20	160	3	200	1450	262144	0.5984205
520	64	21	168	4	210	1655	262144	0.6315186
364	2048	20	20	1	200	1050	2097152	0.770162
364	2048	20	20	2	200	1250	2097152	0.6819025
364	2048	20	20	3	200	1450	2097152	0.6742065
364	2048	21	21	4	210	1655	2097152	0.6840739
520	2048	20	160	1	200	1050	262144	0.5802107
520	2048	20	160	2	200	1250	262144	0.5777745
520	2048	20	160	3	200	1450	262144	0.5720699
520	2048	21	168	4	210	1655	262144	0.5964825
