SubBand: 50 - 74 (24)
SubBand: 74 - 138 (64)
SubBand: 138 - 234 (96)
SubBand: 234 - 350 (116)
DM  NBIN  NCHAN_IN  NCHAN_OUT Subband BW  CFREQ NFFT  PERF
30  64  30  30  1 24  62  4194304 0.4057704
30  64  80  80  2 64  106 1048576 0.4775527
30  64  120 120 3 96  186 1048576 0.5817046
30  64  145 145 4 116 292 131072  0.5800437
53  64  30  240 1 24  62  262144  0.3615235
53  64  80  640 2 64  106 131072  0.4500082
53  64  120 960 3 96  186 65536 0.5520501
53  64  145 1160  4 116 292 32768 0.4725329
30  2048  30  30  1 24  62  4194304 0.4062409
30  2048  80  80  2 64  106 1048576 0.5179955
30  2048  120 120 3 96  186 1048576 0.5658271
30  2048  145 145 4 116 292 524288  0.5335387
53  2048  30  240 1 24  62  262144  0.2836668
53  2048  80  640 2 64  106 131072  0.4176868
53  2048  120 960 3 96  186 65536 0.5314575
53  2048  145 1160  4 116 292 32768 0.5420182
